spec_name,metric,operator,target,measured,required,pass,measurement_source_type,measurement_source_artifact,measurement_source_status
vdd_is_1v,vdd_v,<=,1.0,1.0,True,True,RAW_OP,C:\Skynet_Setup\skynet_analog_agent\workspace_projects\demo_ctle_nrz_2gbps\reports\stage13\runs\op.raw,PASS
channel_loss_min,channel_loss_at_nyquist_db,>=,8.0,11.255471881944324,True,True,CSV_DERIVED_FROM_RAW,C:\Skynet_Setup\skynet_analog_agent\workspace_projects\demo_ctle_nrz_2gbps\verification\data\ctle_channel_only_ac.csv,PASS
channel_loss_max,channel_loss_at_nyquist_db,<=,12.0,11.255471881944324,True,True,CSV_DERIVED_FROM_RAW,C:\Skynet_Setup\skynet_analog_agent\workspace_projects\demo_ctle_nrz_2gbps\verification\data\ctle_channel_only_ac.csv,PASS
ctle_peaking_min,ctle_peaking_db,>=,5.0,7.450108476938258,True,True,CSV_DERIVED_FROM_RAW,C:\Skynet_Setup\skynet_analog_agent\workspace_projects\demo_ctle_nrz_2gbps\verification\data\ctle_only_ac.csv,PASS
ctle_peaking_max,ctle_peaking_db,<=,8.0,7.450108476938258,True,True,CSV_DERIVED_FROM_RAW,C:\Skynet_Setup\skynet_analog_agent\workspace_projects\demo_ctle_nrz_2gbps\verification\data\ctle_only_ac.csv,PASS
ctle_lf_gain_min,ctle_low_freq_gain_db,>=,0.0,2.622415937809413,True,True,CSV_DERIVED_FROM_RAW,C:\Skynet_Setup\skynet_analog_agent\workspace_projects\demo_ctle_nrz_2gbps\verification\data\ctle_only_ac.csv,PASS
ctle_lf_gain_max,ctle_low_freq_gain_db,<=,3.0,2.622415937809413,True,True,CSV_DERIVED_FROM_RAW,C:\Skynet_Setup\skynet_analog_agent\workspace_projects\demo_ctle_nrz_2gbps\verification\data\ctle_only_ac.csv,PASS
ctle_peak_frequency_min,ctle_peak_frequency_hz,>=,800000000.0,1496235656.0944567,True,True,CSV_DERIVED_FROM_RAW,C:\Skynet_Setup\skynet_analog_agent\workspace_projects\demo_ctle_nrz_2gbps\verification\data\ctle_only_ac.csv,PASS
ctle_peak_frequency_max,ctle_peak_frequency_hz,<=,3000000000.0,1496235656.0944567,True,True,CSV_DERIVED_FROM_RAW,C:\Skynet_Setup\skynet_analog_agent\workspace_projects\demo_ctle_nrz_2gbps\verification\data\ctle_only_ac.csv,PASS
ctle_hf_rolloff_required,ctle_high_freq_rolloff_from_peak_db,>,0.0,23.63098618070825,True,True,CSV_DERIVED_FROM_RAW,C:\Skynet_Setup\skynet_analog_agent\workspace_projects\demo_ctle_nrz_2gbps\verification\data\ctle_only_ac.csv,PASS
cascade_improves_nyquist,cascade_improvement_db,>,0.0,7.330203503791658,True,True,CSV_DERIVED_FROM_RAW,C:\Skynet_Setup\skynet_analog_agent\workspace_projects\demo_ctle_nrz_2gbps\verification\data\ctle_cascade_ac.csv,PASS
residual_loss_bounded,residual_loss_at_nyquist_db,<=,6.0,3.9252683781526656,True,True,CSV_DERIVED_FROM_RAW,C:\Skynet_Setup\skynet_analog_agent\workspace_projects\demo_ctle_nrz_2gbps\verification\data\ctle_cascade_ac.csv,PASS
eye_height_improves,eye_height_improvement_v,>,0.0,0.0411188006401062,True,True,CSV_DERIVED_FROM_RAW,C:\Skynet_Setup\skynet_analog_agent\workspace_projects\demo_ctle_nrz_2gbps\verification\data\ctle_cascade_tran_prbs.csv,PASS
eye_width_improves,eye_width_improvement_ui,>,0.0,0.8200000000000001,True,True,CSV_DERIVED_FROM_RAW,C:\Skynet_Setup\skynet_analog_agent\workspace_projects\demo_ctle_nrz_2gbps\verification\data\ctle_cascade_tran_prbs.csv,PASS
output_cm_min,output_common_mode_v,>=,0.25,0.5499779529557319,True,True,CSV_DERIVED_FROM_RAW,C:\Skynet_Setup\skynet_analog_agent\workspace_projects\demo_ctle_nrz_2gbps\verification\data\ctle_cascade_tran_prbs.csv,PASS
output_cm_max,output_common_mode_v,<=,0.85,0.5499779529557319,True,True,CSV_DERIVED_FROM_RAW,C:\Skynet_Setup\skynet_analog_agent\workspace_projects\demo_ctle_nrz_2gbps\verification\data\ctle_cascade_tran_prbs.csv,PASS
top_headroom_min,top_headroom_v,>=,0.05,0.4220693111419678,True,True,CSV_DERIVED_FROM_RAW,C:\Skynet_Setup\skynet_analog_agent\workspace_projects\demo_ctle_nrz_2gbps\verification\data\ctle_cascade_tran_prbs.csv,PASS
bottom_headroom_min,bottom_headroom_v,>=,0.05,0.5220314860343933,True,True,CSV_DERIVED_FROM_RAW,C:\Skynet_Setup\skynet_analog_agent\workspace_projects\demo_ctle_nrz_2gbps\verification\data\ctle_cascade_tran_prbs.csv,PASS
power_max,total_power_w,<=,0.005,3.559113611117937e-05,True,True,RAW_OP,C:\Skynet_Setup\skynet_analog_agent\workspace_projects\demo_ctle_nrz_2gbps\reports\stage13\runs\op.raw,PASS
pmos_active_load_valid,pmos_active_load_valid,>,0.5,1.0,True,True,RAW_OP,C:\Skynet_Setup\skynet_analog_agent\workspace_projects\demo_ctle_nrz_2gbps\reports\stage13\runs\op.raw,PASS
nmos_input_pair_valid,nmos_input_pair_valid,>,0.5,1.0,True,True,RAW_OP,C:\Skynet_Setup\skynet_analog_agent\workspace_projects\demo_ctle_nrz_2gbps\reports\stage13\runs\op.raw,PASS
all_device_op_valid,device_op_valid,>,0.5,1.0,True,True,RAW_OP,C:\Skynet_Setup\skynet_analog_agent\workspace_projects\demo_ctle_nrz_2gbps\reports\stage13\runs\op.raw,PASS
all_devices_saturation_valid,all_devices_saturation_valid,>,0.5,1.0,True,True,RAW_OP,C:\Skynet_Setup\skynet_analog_agent\workspace_projects\demo_ctle_nrz_2gbps\reports\stage13\runs\op.raw,PASS
eye_height_ratio_quality,eye_height_improvement_ratio,>=,1.5,3.1992093979629246,True,True,CSV_DERIVED_FROM_RAW,C:\Skynet_Setup\skynet_analog_agent\workspace_projects\demo_ctle_nrz_2gbps\verification\data\ctle_cascade_tran_prbs.csv,PASS
eye_width_presentation_min,eye_width_after_ctle_ui,>=,0.35,1.0,True,True,CSV_DERIVED_FROM_RAW,C:\Skynet_Setup\skynet_analog_agent\workspace_projects\demo_ctle_nrz_2gbps\verification\data\ctle_cascade_tran_prbs.csv,PASS
presentation_quality_status,presentation_quality_status_numeric,>,0.5,1.0,True,True,CSV_DERIVED_FROM_RAW,C:\Skynet_Setup\skynet_analog_agent\workspace_projects\demo_ctle_nrz_2gbps\verification\data\ctle_cascade_tran_prbs.csv,PASS
png_only_plots,png_only_plots,>,0.5,1.0,True,True,CSV_DERIVED_FROM_RAW,C:\Skynet_Setup\skynet_analog_agent\workspace_projects\demo_ctle_nrz_2gbps\reports\stage14\tables\measurement_summary.csv,PASS
measurement_truth_valid,measurement_truth_valid,>,0.5,1.0,True,True,CSV_DERIVED_FROM_RAW,C:\Skynet_Setup\skynet_analog_agent\workspace_projects\demo_ctle_nrz_2gbps\reports\stage14\tables\measurement_summary.csv,PASS
